mls_number,city,address,postal_code,price,price_numeric,property_type,building_type,bedrooms,bathrooms,size_interior,size_exterior,lot_size,year_built,parking_type,parking_spaces,ownership_type,heating_type,cooling_type,basement_type,agent_name,brokerage,time_on_realtor,annual_tax,tax_account_id,assessed_value_2025,assessed_value_2026,taxable_assessment_2025,taxable_assessment_2026,tax_municipal_2025,tax_municipal_2026,tax_education_2025,tax_education_2026,tax_library_2025,tax_library_2026,tax_total_2025,tax_total_2026,tax_property_class,tax_property_type,tax_lot_size_sqft,tax_ward,tax_valuation_approach
SK006161,"Prince Albert","400 15th STREET|Prince Albert, Saskatchewan S6V1G2",S6V1G2,"$6,249,900",6249900,"Vacant Land",,,,,,"7.54 ac",,,,Freehold,,,,"Jesse Honch","Coldwell Banker Signature",,,,,,,,,,,,,,,,,,,,
SK009657,"Prince Albert","4791 7th AVENUE E|Prince Albert, Saskatchewan S6V6X4",S6V6X4,"$1,999,000",1999000,"Vacant Land",,,,,,"3.85 ac",2023,,,Freehold,,,,"Lou Doderai","Royal LePage Icon Realty",,"$80,509 (CAD)",,,,,,,,,,,,,,,,,,
SK998884,"Prince Albert","Nisbet Industrial Park|Buckland Rm No. 491, Saskatchewan S6V5R3",S6V5R3,"$1,997,000",1997000,"Vacant Land",Unknown,,,,,"37.27 ac",,,,Freehold,,,,"Larry Ziegeman","RE/MAX P.A. Realty",,"$2,996 (CAD)",,,,,,,,,,,,,,,,,,
SK027490,"Prince Albert","Phase 2 & 3 Glass DRIVE|Prince Albert, Saskatchewan S6X0A7",S6X0A7,"$1,680,000",1680000,"Vacant Land",Unknown,,,,,"7.47 ac",,,,Freehold,,,,"Duane Braaten P.App AACI","Advantage Real Estate",,"$7,400 (CAD)",,,,,,,,,,,,,,,,,,
SK027230,"Prince Albert","325 15th STREET W|Prince Albert, Saskatchewan S6V4A2",S6V4A2,"$1,200,000",1200000,"Single Family",House,,0,,,,,"Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,,"Jenna Law","Hansen Real Estate Inc.",,,,,,,,,,,,,,,,,,,,
SK028554,"Prince Albert","419 9th STREET E|Prince Albert, Saskatchewan S6V0Y1",S6V0Y1,"$699,900",699900,Multi-family,Multi-Family,,,,,"7381.02 sqft",1963,,,Freehold,"Hot Water, (Natural gas)",,,"Adam Schmalz","RE/MAX P.A. Realty",,"$9,115 (CAD)",,,,,,,,,,,,,,,,,,
SK021984,"Prince Albert","Riverfront land|Buckland Rm No. 491, Saskatchewan S6V0A1",S6V0A1,"$650,000",650000,"Vacant Land",Unknown,,,,,"26.3 ac",,,,Freehold,,,,"Cam Bristow","Colliers McClocklin Real Estate Corp.",,"$190 (CAD)",,,,,,,,,,,,,,,,,,
SK023792,"Prince Albert","15108 Highway 302 EAST Acreage|Prince Albert Rm No. 461, Saskatchewan S6V7H8",S6V7H8,"$649,900",649900,"Single Family",House,4,2,"1110 sqft",,"39.94 ac",1967,"Detached Garage, Parking Space(s) (10)",10,Freehold,"Forced air, (Natural gas)",,"Partial (Finished)","Jenna Law","Hansen Real Estate Inc.",,"$3,173 (CAD)",,,,,,,,,,,,,,,,,,
SK028319,"Prince Albert","2944 Lakeview DRIVE|Prince Albert, Saskatchewan S6W0A4",S6W0A4,"$629,900",629900,"Single Family",House,4,4,"1623 sqft",,"0.17 ac",2013,"Attached Garage, Heated Garage, Parking Space(s) (6)",6,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Finished)","Amber Mason","RE/MAX P.A. Realty",,"$6,036 (CAD)",,,,,,,,,,,,,,,,,,
SK024620,"Prince Albert","2966 Lakeview DRIVE|Prince Albert, Saskatchewan S6W0A4",S6W0A4,"$599,900",599900,"Single Family",House,4,3,"1462 sqft",,"0.15 ac",2013,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Jesse Heit","Century 21 Fusion",,"$6,670 (CAD)",,,,,,,,,,,,,,,,,,
SK017577,"Prince Albert","Lincoln Park Road Acreage|Prince Albert Rm No. 461, Saskatchewan S6V5P9",S6V5P9,"$499,900",499900,"Single Family",House,1,1,"616 sqft",,"7.04 ac",1955,"Gravel, Parking Space(s) (10)",10,Freehold,"(Electric), (Natural gas)",,Full,"Jesse Honch","Coldwell Banker Signature",,"$2,300 (CAD)",,,,,,,,,,,,,,,,,,
SK014153,"Prince Albert","103 1602 1st STREET E|Prince Albert, Saskatchewan S6V1G7",S6V1G7,"$494,900",494900,"Single Family",Apartment,2,2,"1705 sqft",,"2.51 ac",2008,"Underground (1), Surfaced (1), Other, Parking Space(s) (2)",4,Condominium/Strata,"Forced air, (Natural gas)","Central air conditioning",,"Jenna Law","Hansen Real Estate Inc.",,"$5,079 (CAD)",,,,,,,,,,,,,,,,,,
SK027084,"Prince Albert","2907 15th AVENUE E|Prince Albert, Saskatchewan S6V7T7",S6V7T7,"$489,000",489000,"Single Family",House,6,3,"2331 sqft",,"0.16 ac",1997,"Attached Garage, Heated Garage, Parking Space(s) (5)",5,Freehold,"Forced air, Hot Water, In Floor Heating, (Natural gas)","Central air conditioning","Full (Finished)","Daniel Leon","Boyes Group Realty Inc.",,"$5,355 (CAD)",,,,,,,,,,,,,,,,,,
SK028663,"Prince Albert","1219 River STREET E|Prince Albert, Saskatchewan S6V0B7",S6V0B7,"$475,000",475000,"Single Family",House,3,3,"3325 sqft",,"0.15 ac",1992,"Detached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"(Natural gas)","Central air conditioning","Partial (Finished)","Rick Valcourt","eXp Realty","6 days ago","$7,000 (CAD)",,,,,,,,,,,,,,,,,,
SK028553,"Prince Albert","833/835 5th STREET E|Prince Albert, Saskatchewan S6V2L6",S6V2L6,"$459,900",459900,"Single Family",Duplex,6,4,"1250 sqft",,"0.16 ac",2019,"Detached Garage, RV, Gravel, Heated Garage, Parking Space(s) (6)",6,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Pat Lynch","Century 21 Fusion",,"$5,451 (CAD)",,,,,,,,,,,,,,,,,,
SK025369,"Prince Albert","857 Madsen PLACE|Prince Albert, Saskatchewan S6V2L6",S6V2L6,"$459,900",459900,"Single Family",House,4,3,"1336 sqft",,"4751 sqft",2014,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Finished)","Todd Antaya","eXp Realty",,"$5,172 (CAD)",,,,,,,,,,,,,,,,,,
SK028209,"Prince Albert","744 19th STREET W|Prince Albert, Saskatchewan S6V4E4",S6V4E4,"$449,900",449900,"Single Family",,3,3,"1764 sqft",,"3397 sqft",2016,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning, Air exchanger","Full (Finished)","Michael Lypchuk","RE/MAX P.A. Realty",,"$4,999 (CAD)",,,,,,,,,,,,,,,,,,
SK028295,"Prince Albert","1720 Olive Diefenbaker DRIVE|Prince Albert, Saskatchewan S6X1B6",S6X1B6,"$449,900",449900,"Single Family",House,4,3,"1436 sqft",,"6580.86 sqft",1997,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Partial (Finished)","Adam Schmalz","RE/MAX P.A. Realty",,"$5,422 (CAD)",,,,,,,,,,,,,,,,,,
SK027681,"Prince Albert","1355 Lacroix CRESCENT|Prince Albert, Saskatchewan S6V6R2",S6V6R2,"$449,900",449900,"Single Family",House,5,3,"1226 sqft",,"7825.09 sqft",1977,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Jesse Honch","Coldwell Banker Signature",,"$4,747 (CAD)",,,,,,,,,,,,,,,,,,
SK027716,"Prince Albert","475 42nd STREET E|Prince Albert, Saskatchewan S6W0A5",S6W0A5,"$435,900",435900,"Vacant Land",,,,,,"1.23 ac",,,,Freehold,,,,"Joel Broda","RE/MAX P.A. Realty",,"$12,999 (CAD)",,,,,,,,,,,,,,,,,,
SK027717,"Prince Albert","501 42nd STREET E|Prince Albert, Saskatchewan S6W0A5",S6W0A5,"$432,900",432900,"Vacant Land",,,,,,"1.22 ac",,,,Freehold,,,,"Joel Broda","RE/MAX P.A. Realty",,"$12,908 (CAD)",,,,,,,,,,,,,,,,,,
SK018569,"Prince Albert","313 19th STREET W|Prince Albert, Saskatchewan S6V4C8",S6V4C8,"$420,000",420000,"Single Family",House,7,4,"2648 sqft",,"13152 sqft",1912,"Detached Garage, Parking Space(s) (6)",6,Freehold,"Baseboard heaters, Hot Water, (Natural gas)",,"Full (Finished)","Brian Vanneste","Royal LePage Varsity",,"$4,694 (CAD)",,,,,,,,,,,,,,,,,,
SK028752,"Prince Albert","3317 Eagle CRESCENT|Prince Albert, Saskatchewan S6V7R1",S6V7R1,"$419,900",419900,"Single Family",House,4,3,"1222 sqft",,,1985,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Kris Miazga","Coldwell Banker Signature","5 days ago","$4,854 (CAD)",,,,,,,,,,,,,,,,,,
SK017486,"Prince Albert","6107 Holmes DRIVE|Buckland Rm No. 491, Saskatchewan S6V5R3",S6V5R3,"$419,900",419900,"Single Family",House,3,2,"1332 sqft",,"2 ac",1970,"Detached Garage, Gravel, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Adam Schmalz","RE/MAX P.A. Realty",,"$2,397 (CAD)",,,,,,,,,,,,,,,,,,
SK018581,"Prince Albert","474 Pine DRIVE|Buckland Rm No. 491, Saskatchewan S6V5R3",S6V5R3,"$409,000",409000,"Single Family",House,4,2,"1400 sqft",,"1 ac",1971,"Detached Garage, Gravel, Heated Garage, Parking Space(s) (6)",6,Freehold,"Forced air, (Natural gas)","Central air conditioning",,"Julie Fiala","Realty ONE Group Dynamic",,,,,,,,,,,,,,,,,,,,
SK026656,"Prince Albert","3082 Sherman DRIVE|Prince Albert, Saskatchewan S6V7H6",S6V7H6,"$399,900",399900,"Single Family",House,4,3,"1808 sqft",,"7436.9 sqft",1983,"Attached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Jesse Honch","Coldwell Banker Signature",,"$5,995 (CAD)",,,,,,,,,,,,,,,,,,
SK024828,"Prince Albert","1812/1816 16th STREET W|Prince Albert, Saskatchewan S6V5Y2",S6V5Y2,"$399,900",399900,"Single Family",Duplex,3,2,"1252 sqft",,"5202 sqft",2015,"None, Gravel, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Jenna Law","Hansen Real Estate Inc.",,"$5,790 (CAD)",,,,,,,,,,,,,,,,,,
SK027920,"Prince Albert","451 40th STREET E|Prince Albert, Saskatchewan S6W0A5",S6W0A5,"$389,900",389900,"Vacant Land",,,,,,"1.55 ac",,,,Freehold,,,,"Adam Schmalz","RE/MAX P.A. Realty",,"$15,432 (CAD)",,,,,,,,,,,,,,,,,,
SK016658,"Prince Albert","616 28th STREET E|Prince Albert, Saskatchewan S6V1X9",S6V1X9,"$389,000",389000,"Single Family",Fourplex,7,4,"1440 sqft",,"7680 sqft",1966,"None, Gravel, Parking Space(s) (4)",4,Freehold,"Hot Water, (Natural gas)",,"Full (Finished)","Terri Sawchuk","Boyes Group Realty Inc.",,"$5,235 (CAD)",,,,,,,,,,,,,,,,,,
SK024187,"Prince Albert","304 2501 1st AVENUE W|Prince Albert, Saskatchewan S6V5A3",S6V5A3,"$375,000",375000,"Single Family",Apartment,4,3,"2361 sqft",,"0.18 ac",1997,"Underground (2), Surfaced (1), Other, Parking Space(s) (3)",6,Condominium/Strata,"Baseboard heaters, Hot Water, (Natural gas)","Wall unit, Window air conditioner",,"Jesse Honch","Coldwell Banker Signature",,"$6,026 (CAD)",,,,,,,,,,,,,,,,,,
SK024232,"Prince Albert","3289 Grey Owl CRESCENT|Prince Albert, Saskatchewan S6V6X6",S6V6X6,"$369,900",369900,"Single Family",House,3,3,"1038 sqft",,"0.17 ac",1982,"Detached Garage, Parking Pad, Parking Space(s) (5)",5,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Allana Hawkes","Royal LePage Icon Realty",,"$4,343 (CAD)",,,,,,,,,,,,,,,,,,
SK017475,"Prince Albert","2450 15th AVENUE E|Prince Albert, Saskatchewan S6V6J1",S6V6J1,"$357,900",357900,"Single Family",House,4,3,"1080 sqft",,"7800 sqft",1976,"Detached Garage, Heated Garage, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,Full,"Kevin Isbister","eXp Realty",,"$3,928 (CAD)",,,,,,,,,,,,,,,,,,
SK027878,"Prince Albert","343 Bernard BAY|Prince Albert, Saskatchewan S6V7K6",S6V7K6,"$349,900",349900,"Single Family",House,4,3,"1114 sqft",,"5723 sqft",2001,"Attached Garage, Heated Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Joel Senko","RE/MAX P.A. Realty",,"$4,629 (CAD)",,,,,,,,,,,,,,,,,,
SK028821,"Prince Albert","1028 Woodman CRESCENT|Prince Albert, Saskatchewan S6V6L6",S6V6L6,"$339,900",339900,"Single Family",House,5,3,"1172 sqft",,"0.17 ac",1976,"Attached Garage, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Adam Schmalz","RE/MAX P.A. Realty","4 days ago","$4,411 (CAD)",,,,,,,,,,,,,,,,,,
SK008034,"Prince Albert","970 Central AVENUE N|Prince Albert, Saskatchewan S6V7J6",S6V7J6,"$325,000",325000,"Vacant Land",,,,,,"11.25 ac",,,,Freehold,Other,,,"David Harradence","RE/MAX P.A. Realty",,"$27,086 (CAD)",,,,,,,,,,,,,,,,,,
SK028448,"Prince Albert","1429 Lacroix CRESCENT|Prince Albert, Saskatchewan S6V6R6",S6V6R6,"$319,900",319900,"Single Family",House,3,2,"918 sqft",,"5839 sqft",1977,"None, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Joel Broda","RE/MAX P.A. Realty",,"$3,415 (CAD)",,,,,,,,,,,,,,,,,,
SK011110,"Prince Albert","4 211 20th STREET W|Prince Albert, Saskatchewan S6V4G5",S6V4G5,"$319,000",319000,"Single Family","Row / Townhouse",3,3,"2450 sqft",,,2010,"Attached Garage, Parking Pad, Heated Garage, Parking Space(s) (3)",3,Condominium/Strata,"Forced air, (Natural gas)","Central air conditioning",,"Allana Hawkes","Royal LePage Icon Realty",,"$5,784 (CAD)",,,,,,,,,,,,,,,,,,
SK027840,"Prince Albert","3111 4th AVENUE W|Prince Albert, Saskatchewan S6V5H1",S6V5H1,"$314,900",314900,"Single Family",House,3,2,"1382 sqft",,"0.16 ac",1974,"Attached Garage, Interlocked, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Jenna Law","Hansen Real Estate Inc.",,"$5,438 (CAD)",,,,,,,,,,,,,,,,,,
SK028001,"Prince Albert","1315 Cowan DRIVE|Prince Albert, Saskatchewan S6V2P9",S6V2P9,"$310,000",310000,"Single Family",House,3,2,"1088 sqft",,"0.15 ac",1968,"Detached Garage, Heated Garage, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Adam Schmalz","RE/MAX P.A. Realty",,"$4,178 (CAD)",,,,,,,,,,,,,,,,,,
SK026198,"Prince Albert","723 Eastwood STREET|Prince Albert, Saskatchewan S6V2T4",S6V2T4,"$309,900",309900,"Single Family",House,4,2,"1000 sqft",,"8307.73 sqft",1965,"Detached Garage, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Jesse Honch","Coldwell Banker Signature",,"$3,387 (CAD)",,,,,,,,,,,,,,,,,,
SK028791,"Prince Albert","824-826 28th STREET E|Prince Albert, Saskatchewan S6V1Y1",S6V1Y1,"$309,900",309900,"Single Family",Duplex,6,2,"1296 sqft",,"0.18 ac",1967,"None, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Partially finished)","Amber Mason","RE/MAX P.A. Realty","5 days ago","$3,896 (CAD)",,,,,,,,,,,,,,,,,,
SK996520,"Prince Albert","Hwy 2 North|Prince Albert, Saskatchewan S6V5R3",S6V5R3,"$300,000",300000,"Vacant Land",,,,,,"1.1 ac",,,,Freehold,,,,"Larry Ziegeman","RE/MAX P.A. Realty",,"$300 (CAD)",,,,,,,,,,,,,,,,,,
SK017984,"Prince Albert","441 6th STREET E|Prince Albert, Saskatchewan S6V0N3",S6V0N3,"$299,900",299900,"Single Family",House,4,2,"896 sqft",,"0.15 ac",2011,"Detached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Amber Mason","RE/MAX P.A. Realty",,"$3,825 (CAD)",,,,,,,,,,,,,,,,,,
SK018522,"Prince Albert","1008 2nd STREET E|Prince Albert, Saskatchewan S6V0P8",S6V0P8,"$299,900",299900,"Single Family",House,5,2,"946 sqft",,"0.11 ac",1997,"None, Gravel, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Jenna Law","Hansen Real Estate Inc.",,"$3,364 (CAD)",,,,,,,,,,,,,,,,,,
SK022427,"Prince Albert","585 19th STREET E|Prince Albert, Saskatchewan S6V1K3",S6V1K3,"$299,500",299500,"Single Family",House,8,3,"3602 sqft",,"18480 sqft",1912,"Attached Garage, Gravel, Parking Space(s) (7)",7,Freehold,"Baseboard heaters, Hot Water, (Natural gas)",,"Full (Partially finished)","Duane Braaten P.App AACI","Advantage Real Estate",,"$4,454 (CAD)",,,,,,,,,,,,,,,,,,
SK015633,"Prince Albert","47 21st STREET E|Prince Albert, Saskatchewan S6V1L7",S6V1L7,"$295,000",295000,"Single Family",House,5,4,"1741 sqft",,"9744 sqft",1949,"Detached Garage, Gravel, Parking Space(s) (7)",7,Freehold,"Baseboard heaters, (Electric), Forced air, (Natural gas)",,"Full (Finished)","Michael Lypchuk","RE/MAX P.A. Realty",,"$4,385 (CAD)",,,,,,,,,,,,,,,,,,
SK028531,"Prince Albert","866 Spencer DRIVE|Prince Albert, Saskatchewan S6V7C9",S6V7C9,"$289,900",289900,"Single Family",House,4,2,"1008 sqft",,"4839 sqft",1980,"None, Parking Space(s) (1)",1,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Adam Schmalz","RE/MAX P.A. Realty",,"$3,906 (CAD)",,,,,,,,,,,,,,,,,,
SK017835,"Prince Albert","119 22nd STREET E|Prince Albert, Saskatchewan S6V1N2",S6V1N2,"$289,900",289900,"Single Family",House,3,2,"1792 sqft",,"9127 sqft",1912,"Detached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Partially finished)","Michael Lypchuk","RE/MAX P.A. Realty",,"$3,669 (CAD)",,,,,,,,,,,,,,,,,,
SK016753,"Prince Albert","407 18th STREET W|Prince Albert, Saskatchewan S6V4A4",S6V4A4,"$269,900",269900,"Single Family",House,2,2,"1812 sqft",,"4284.25 sqft",1920,"Gravel, Parking Space(s) (3)",3,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Jesse Honch","Coldwell Banker Signature",,"$2,806 (CAD)",,,,,,,,,,,,,,,,,,
SK016827,"Prince Albert","215 Redwing ROAD|Buckland Rm No. 491, Saskatchewan S6V5R3",S6V5R3,"$259,900",259900,"Single Family",House,2,1,"672 sqft",,"0.47 ac",1952,"Detached Garage, Gravel, Heated Garage, Parking Space(s) (10)",10,Freehold,"Forced air, (Natural gas)",,"Partial (Unfinished)","Conrad Kruger","eXp Realty",,"$1,479 (CAD)",,,,,,,,,,,,,,,,,,
SK027437,"Prince Albert","C2 532 River STREET E|Prince Albert, Saskatchewan S6V0A6",S6V0A6,"$259,900",259900,"Single Family",Apartment,2,1,"1020 sqft",,,1988,"Detached Garage, Parking Space(s) (2)",2,Condominium/Strata,"Forced air, (Natural gas)","Central air conditioning",,"Conrad Kruger","eXp Realty",,"$3,412 (CAD)",,,,,,,,,,,,,,,,,,
SK027780,"Prince Albert","333 25th STREET W|Prince Albert, Saskatchewan S6V4P5",S6V4P5,"$254,000",254000,"Single Family",House,4,2,"812 sqft",,52x122,1958,"None, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)","Central air conditioning","Full (Finished)","Luke Levesque","eXp Realty",,"$3,101 (CAD)",,,,,,,,,,,,,,,,,,
SK022517,"Prince Albert","1277 Gillmor CRESCENT|Prince Albert, Saskatchewan S6V6A8",S6V6A8,"$250,000",250000,"Single Family",House,4,2,"846 sqft",,,1974,"Detached Garage, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,Full,"Brooklynn (Brook) Valcourt","eXp Realty",,"$3,469 (CAD)",,,,,,,,,,,,,,,,,,
SK023589,"Prince Albert","1460 7th STREET E|Prince Albert, Saskatchewan S6V0R4",S6V0R4,"$249,900",249900,"Vacant Land",Unknown,,,,,"0.81 ac",,,,Freehold,,,,"Joel Broda","RE/MAX P.A. Realty",,"$1,726 (CAD)",,,,,,,,,,,,,,,,,,
SK027038,"Prince Albert","301 River STREET E|Prince Albert, Saskatchewan S6V0A3",S6V0A3,"$249,900",249900,"Single Family",House,3,2,"560 sqft",,"0.09 ac",1925,"Detached Garage, Parking Space(s) (1)",1,Freehold,"Forced air, (Natural gas)",,"Full (Finished)","Conrad Kruger","eXp Realty",,"$1,891 (CAD)",,,,,,,,,,,,,,,,,,
SK028994,"Prince Albert","1427 2nd STREET E|Prince Albert, Saskatchewan S6V0H6",S6V0H6,"$249,900",249900,"Single Family",House,4,2,"900 sqft",,54x129,1966,"Detached Garage, Parking Space(s) (4)",4,Freehold,"Forced air, (Natural gas)","Central air conditioning",Full,"Dustin Anderson","Boyes Group Realty Inc.","10 hours ago","$3,207 (CAD)",,,,,,,,,,,,,,,,,,
SK021251,"Prince Albert","441 28th STREET E|Prince Albert, Saskatchewan S6V1X6",S6V1X6,"$249,900",249900,"Single Family",House,3,1,"1120 sqft",,"0.17 ac",1966,"None, Parking Space(s) (2)",2,Freehold,"Forced air, (Natural gas)",,"Full (Partially finished)","Amber Mason","RE/MAX P.A. Realty",,"$2,768 (CAD)",,,,,,,,,,,,,,,,,,
SK028508,"Prince Albert","27 1620 Olive Diefenbaker DRIVE|Prince Albert, Saskatchewan S6X1C5",S6X1C5,"$249,900",249900,"Single Family","Row / Townhouse",3,3,"1236 sqft",,,2001,"Attached Garage, Other, Parking Space(s) (2)",2,Condominium/Strata,"Forced air, (Natural gas)","Central air conditioning",,"Conrad Kruger","eXp Realty",,"$3,578 (CAD)",,,,,,,,,,,,,,,,,,
